№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
48;U+2639;☹;;;;;;;—;;;—;—;—;—;frowning face;1995ʷ;face | frown
49;U+1F641;🙁;;;;;;;—;;;—;—;—;—;slightly frowning face;2014ˣ;face | frown
50;U+1F616;😖;;;;;;;;;;;;;;confounded face;2010ʲ;confounded | face
51;U+1F61E;😞;;;;;;;;;;;;;—;disappointed face;2010ʲ;disappointed | face
52;U+1F61F;😟;;;;;;;;;;;—;—;—;worried face;2012ˣ;face | worried
53;U+1F624;😤;;;;;;;;;;;—;—;;face with steam from nose;2010ʲ;face | triumph | won
54;U+1F622;😢;;;;;;;;;;;;;;crying face;2010ʲ;cry | face | sad | tear
55;U+1F62D;😭;;;;;;;;;;;;;;loudly crying face;2010ʲ;cry | face | sad | sob | tear
56;U+1F626;😦;;;;;;;;;;—;—;—;—;frowning face with open mouth;2012ˣ;face | frown | mouth | open
57;U+1F627;😧;;;;;;;;;;—;—;—;—;anguished face;2012ˣ;anguished | face
58;U+1F628;😨;;;;;;;;;;;;—;;fearful face;2010ʲ;face | fear | fearful | scared
59;U+1F629;😩;;;;;;;;;;;—;—;;weary face;2010ʲ;face | tired | weary
60;U+1F62C;😬;;;;;;;;;;—;—;—;—;grimacing face;2012ˣ;face | grimace
61;U+1F630;😰;;;;;;;;;;;;—;;face with open mouth & cold sweat;2010ʲ;blue | cold | face | mouth | open | rushed | sweat
62;U+1F631;😱;;;;;;;;;;;;;;face screaming in fear;2010ʲ;face | fear | fearful | munch | scared | scream
63;U+1F633;😳;;;;;;;;;;;;—;;flushed face;2010ʲ;dazed | face | flushed
64;U+1F635;😵;;;;;;;;;;;—;;;dizzy face;2010ʲ;dizzy | face
65;U+1F621;😡;;;;;;;;;;;;;;pouting face;2010ʲ;angry | face | mad | pouting | rage | red
66;U+1F620;😠;;;;;;;;;;;;;;angry face;2010ʲ;angry | face | mad
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
67;U+1F607;😇;;;;;;;;;;—;—;—;—;smiling face with halo;2010ˣ;angel | face | fairy tale | fantasy | halo | innocent | smile
68;U+1F920;🤠;;;;;;;—;;;—;—;—;—;cowboy hat face;2016ˣ;cowboy | cowgirl | face | hat
69;U+1F921;🤡;;;;;;;—;;;—;—;—;—;clown face;2016ˣ;clown | face
70;U+1F925;🤥;;;;;;;—;;;—;—;—;—;lying face;2016ˣ;face | lie | pinocchio
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
71;U+1F637;😷;;;;;;;;;;;;—;;face with medical mask;2010ʲ;cold | doctor | face | mask | medicine | sick
72;U+1F912;🤒;;;;;;;—;;;—;—;—;—;face with thermometer;2015ˣ;face | ill | sick | thermometer
73;U+1F915;🤕;;;;;;;—;;;—;—;—;—;face with head-bandage;2015ˣ;bandage | face | hurt | injury
74;U+1F922;🤢;;;;;;;—;;;—;—;—;—;nauseated face;2016ˣ;face | nauseated | vomit
75;U+1F927;🤧;;;;;;;—;;;—;—;—;—;sneezing face;2016ˣ;face | gesundheit | sneeze
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
76;U+1F608;😈;;;;;;;;;;—;—;—;—;smiling face with horns;2010ˣ;face | fairy tale | fantasy | horns | smile
77;U+1F47F;👿;;;;;;;;;;;;—;;angry face with horns;2010ʲ;demon | devil | face | fairy tale | fantasy | imp
78;U+1F479;👹;;;;;;;;;;;—;—;;ogre;2010ʲ;creature | face | fairy tale | fantasy | Japanese | monster
79;U+1F47A;👺;;;;;;;;;;;—;—;;goblin;2010ʲ;creature | face | fairy tale | fantasy | Japanese | monster
80;U+1F480;💀;;;;;;;;;;;;—;;skull;2010ʲ;death | face | fairy tale | monster
81;U+2620;☠;;;;;;;—;;;—;—;—;—;skull and crossbones;1995ˣ;crossbones | death | face | monster | skull
82;U+1F47B;👻;;;;;;;;;;;;—;;ghost;2010ʲ;creature | face | fairy tale | fantasy | monster
83;U+1F47D;👽;;;;;;;;;;;;—;;alien;2010ʲʷ;creature | extraterrestrial | face | fairy tale | fantasy | monster | ufo
84;U+1F47E;👾;;;;;;;;;;;;—;;alien monster;2010ʲ;alien | creature | extraterrestrial | face | fairy tale | fantasy | monster | ufo
85;U+1F916;🤖;;;;;;;—;;;—;—;—;—;robot face;2015ˣ;face | monster | robot
86;U+1F4A9;💩;;;;;;;;;;;;—;;pile of poo;2010ʲ;comic | dung | face | monster | poo | poop
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
87;U+1F63A;😺;;;;;;;;;;;—;—;;smiling cat face with open mouth;2010ʲ;cat | face | mouth | open | smile
88;U+1F638;😸;;;;;;;;;;;—;—;;grinning cat face with smiling eyes;2010ʲ;cat | eye | face | grin | smile
89;U+1F639;😹;;;;;;;;;;;—;—;;cat face with tears of joy;2010ʲ;cat | face | joy | tear
90;U+1F63B;😻;;;;;;;;;;;—;—;;smiling cat face with heart-eyes;2010ʲ;cat | eye | face | love | smile
91;U+1F63C;😼;;;;;;;;;;;—;—;;cat face with wry smile;2010ʲ;cat | face | ironic | smile | wry
92;U+1F63D;😽;;;;;;;;;;;—;—;;kissing cat face with closed eyes;2010ʲ;cat | eye | face | kiss
93;U+1F640;🙀;;;;;;;;;;;—;—;;weary cat face;2010ʲ;cat | face | oh | surprised | weary
94;U+1F63F;😿;;;;;;;;;;;—;—;;crying cat face;2010ʲ;cat | cry | face | sad | tear
95;U+1F63E;😾;;;;;;;;;;;—;—;;pouting cat face;2010ʲ;cat | face | pouting
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
96;U+1F648;🙈;;;;;;;;;;;—;—;;see-no-evil monkey;2010ʲ;evil | face | forbidden | gesture | monkey | no | not | prohibited | see
97;U+1F649;🙉;;;;;;;;;;;—;—;;hear-no-evil monkey;2010ʲ;evil | face | forbidden | gesture | hear | monkey | no | not | prohibited
98;U+1F64A;🙊;;;;;;;;;;;—;—;;speak-no-evil monkey;2010ʲ;evil | face | forbidden | gesture | monkey | no | not | prohibited | speak
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
99;U+1F466;👦;;;;;;;;;;;;—;—;boy;2010ʲ;boy | young
100;U+1F466 U+1F3FB;👦🏻;—;;;;;;;;;—;—;—;—;boy: light skin tone;2015ˣ;boy | light skin tone | young
101;U+1F466 U+1F3FC;👦🏼;—;;;;;;;;;—;—;—;—;boy: medium-light skin tone;2015ˣ;boy | medium-light skin tone | young
102;U+1F466 U+1F3FD;👦🏽;—;;;;;;;;;—;—;—;—;boy: medium skin tone;2015ˣ;boy | medium skin tone | young
103;U+1F466 U+1F3FE;👦🏾;—;;;;;;;;;—;—;—;—;boy: medium-dark skin tone;2015ˣ;boy | medium-dark skin tone | young
104;U+1F466 U+1F3FF;👦🏿;—;;;;;;;;;—;—;—;—;boy: dark skin tone;2015ˣ;boy | dark skin tone | young
105;U+1F467;👧;;;;;;;;;;;;—;—;girl;2010ʲ;Virgo | young | zodiac
106;U+1F467 U+1F3FB;👧🏻;—;;;;;;;;;—;—;—;—;girl: light skin tone;2015ˣ;light skin tone | Virgo | young | zodiac
107;U+1F467 U+1F3FC;👧🏼;—;;;;;;;;;—;—;—;—;girl: medium-light skin tone;2015ˣ;medium-light skin tone | Virgo | young | zodiac
108;U+1F467 U+1F3FD;👧🏽;—;;;;;;;;;—;—;—;—;girl: medium skin tone;2015ˣ;medium skin tone | Virgo | young | zodiac
109;U+1F467 U+1F3FE;👧🏾;—;;;;;;;;;—;—;—;—;girl: medium-dark skin tone;2015ˣ;medium-dark skin tone | Virgo | young | zodiac
110;U+1F467 U+1F3FF;👧🏿;—;;;;;;;;;—;—;—;—;girl: dark skin tone;2015ˣ;dark skin tone | Virgo | young | zodiac
111;U+1F468;👨;;;;;;;;;;;;—;;man;2010ʲ;man
112;U+1F468 U+1F3FB;👨🏻;—;;;;;;;;;—;—;—;—;man: light skin tone;2015ˣ;light skin tone | man
113;U+1F468 U+1F3FC;👨🏼;—;;;;;;;;;—;—;—;—;man: medium-light skin tone;2015ˣ;man | medium-light skin tone
114;U+1F468 U+1F3FD;👨🏽;—;;;;;;;;;—;—;—;—;man: medium skin tone;2015ˣ;man | medium skin tone
115;U+1F468 U+1F3FE;👨🏾;—;;;;;;;;;—;—;—;—;man: medium-dark skin tone;2015ˣ;man | medium-dark skin tone
116;U+1F468 U+1F3FF;👨🏿;—;;;;;;;;;—;—;—;—;man: dark skin tone;2015ˣ;dark skin tone | man
117;U+1F469;👩;;;;;;;;;;;;—;;woman;2010ʲ;woman
118;U+1F469 U+1F3FB;👩🏻;—;;;;;;;;;—;—;—;—;woman: light skin tone;2015ˣ;light skin tone | woman
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
119;U+1F469 U+1F3FC;👩🏼;—;;;;;;;;;—;—;—;—;woman: medium-light skin tone;2015ˣ;medium-light skin tone | woman
120;U+1F469 U+1F3FD;👩🏽;—;;;;;;;;;—;—;—;—;woman: medium skin tone;2015ˣ;medium skin tone | woman
121;U+1F469 U+1F3FE;👩🏾;—;;;;;;;;;—;—;—;—;woman: medium-dark skin tone;2015ˣ;medium-dark skin tone | woman
122;U+1F469 U+1F3FF;👩🏿;—;;;;;;;;;—;—;—;—;woman: dark skin tone;2015ˣ;dark skin tone | woman
123;U+1F474;👴;;;;;;;;;;;;—;;old man;2010ʲ;man | old
124;U+1F474 U+1F3FB;👴🏻;—;;;;;;;;;—;—;—;—;old man: light skin tone;2015ˣ;light skin tone | man | old
125;U+1F474 U+1F3FC;👴🏼;—;;;;;;;;;—;—;—;—;old man: medium-light skin tone;2015ˣ;man | medium-light skin tone | old
126;U+1F474 U+1F3FD;👴🏽;—;;;;;;;;;—;—;—;—;old man: medium skin tone;2015ˣ;man | medium skin tone | old
127;U+1F474 U+1F3FE;👴🏾;—;;;;;;;;;—;—;—;—;old man: medium-dark skin tone;2015ˣ;man | medium-dark skin tone | old
128;U+1F474 U+1F3FF;👴🏿;—;;;;;;;;;—;—;—;—;old man: dark skin tone;2015ˣ;dark skin tone | man | old
129;U+1F475;👵;;;;;;;;;;;;—;;old woman;2010ʲ;old | woman
130;U+1F475 U+1F3FB;👵🏻;—;;;;;;;;;—;—;—;—;old woman: light skin tone;2015ˣ;light skin tone | old | woman
131;U+1F475 U+1F3FC;👵🏼;—;;;;;;;;;—;—;—;—;old woman: medium-light skin tone;2015ˣ;medium-light skin tone | old | woman
132;U+1F475 U+1F3FD;👵🏽;—;;;;;;;;;—;—;—;—;old woman: medium skin tone;2015ˣ;medium skin tone | old | woman
133;U+1F475 U+1F3FE;👵🏾;—;;;;;;;;;—;—;—;—;old woman: medium-dark skin tone;2015ˣ;medium-dark skin tone | old | woman
134;U+1F475 U+1F3FF;👵🏿;—;;;;;;;;;—;—;—;—;old woman: dark skin tone;2015ˣ;dark skin tone | old | woman
135;U+1F476;👶;;;;;;;;;;;;—;;baby;2010ʲ;baby | young
136;U+1F476 U+1F3FB;👶🏻;—;;;;;;;;;—;—;—;—;baby: light skin tone;2015ˣ;baby | light skin tone | young
137;U+1F476 U+1F3FC;👶🏼;—;;;;;;;;;—;—;—;—;baby: medium-light skin tone;2015ˣ;baby | medium-light skin tone | young
138;U+1F476 U+1F3FD;👶🏽;—;;;;;;;;;—;—;—;—;baby: medium skin tone;2015ˣ;baby | medium skin tone | young
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
139;U+1F476 U+1F3FE;👶🏾;—;;;;;;;;;—;—;—;—;baby: medium-dark skin tone;2015ˣ;baby | medium-dark skin tone | young
140;U+1F476 U+1F3FF;👶🏿;—;;;;;;;;;—;—;—;—;baby: dark skin tone;2015ˣ;baby | dark skin tone | young
141;U+1F47C;👼;;;;;;;;;;;;—;;baby angel;2010ʲ;angel | baby | face | fairy tale | fantasy
142;U+1F47C U+1F3FB;👼🏻;—;;;;;;;;;—;—;—;—;baby angel: light skin tone;2015ˣ;angel | baby | face | fairy tale | fantasy | light skin tone
143;U+1F47C U+1F3FC;👼🏼;—;;;;;;;;;—;—;—;—;baby angel: medium-light skin tone;2015ˣ;angel | baby | face | fairy tale | fantasy | medium-light skin tone
144;U+1F47C U+1F3FD;👼🏽;—;;;;;;;;;—;—;—;—;baby angel: medium skin tone;2015ˣ;angel | baby | face | fairy tale | fantasy | medium skin tone
145;U+1F47C U+1F3FE;👼🏾;—;;;;;;;;;—;—;—;—;baby angel: medium-dark skin tone;2015ˣ;angel | baby | face | fairy tale | fantasy | medium-dark skin tone
146;U+1F47C U+1F3FF;👼🏿;—;;;;;;;;;—;—;—;—;baby angel: dark skin tone;2015ˣ;angel | baby | dark skin tone | face | fairy tale | fantasy
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
147;U+1F468 U+200D U+2695 U+FE0F;👨‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;man health worker;2010ˣ;doctor | healthcare | man | nurse | therapist
148;U+1F468 U+1F3FB U+200D U+2695 U+FE0F;👨🏻‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;man health worker: light skin tone;2015ˣ;doctor | healthcare | light skin tone | man | nurse | therapist
149;U+1F468 U+1F3FC U+200D U+2695 U+FE0F;👨🏼‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;man health worker: medium-light skin tone;2015ˣ;doctor | healthcare | man | medium-light skin tone | nurse | therapist
150;U+1F468 U+1F3FD U+200D U+2695 U+FE0F;👨🏽‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;man health worker: medium skin tone;2015ˣ;doctor | healthcare | man | medium skin tone | nurse | therapist
151;U+1F468 U+1F3FE U+200D U+2695 U+FE0F;👨🏾‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;man health worker: medium-dark skin tone;2015ˣ;doctor | healthcare | man | medium-dark skin tone | nurse | therapist
152;U+1F468 U+1F3FF U+200D U+2695 U+FE0F;👨🏿‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;man health worker: dark skin tone;2015ˣ;dark skin tone | doctor | healthcare | man | nurse | therapist
153;U+1F469 U+200D U+2695 U+FE0F;👩‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;woman health worker;2010ˣ;doctor | healthcare | nurse | therapist | woman
154;U+1F469 U+1F3FB U+200D U+2695 U+FE0F;👩🏻‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;woman health worker: light skin tone;2015ˣ;doctor | healthcare | light skin tone | nurse | therapist | woman
155;U+1F469 U+1F3FC U+200D U+2695 U+FE0F;👩🏼‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;woman health worker: medium-light skin tone;2015ˣ;doctor | healthcare | medium-light skin tone | nurse | therapist | woman
156;U+1F469 U+1F3FD U+200D U+2695 U+FE0F;👩🏽‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;woman health worker: medium skin tone;2015ˣ;doctor | healthcare | medium skin tone | nurse | therapist | woman
157;U+1F469 U+1F3FE U+200D U+2695 U+FE0F;👩🏾‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;woman health worker: medium-dark skin tone;2015ˣ;doctor | healthcare | medium-dark skin tone | nurse | therapist | woman
158;U+1F469 U+1F3FF U+200D U+2695 U+FE0F;👩🏿‍⚕️;—;;;;—;—;—;—;—;—;—;—;—;woman health worker: dark skin tone;2015ˣ;dark skin tone | doctor | healthcare | nurse | therapist | woman
159;U+1F468 U+200D U+1F393;👨‍🎓;—;;;;—;—;—;—;—;—;—;—;—;man student;2010ˣ;graduate | man | student
160;U+1F468 U+1F3FB U+200D U+1F393;👨🏻‍🎓;—;;;;—;—;—;—;—;—;—;—;—;man student: light skin tone;2015ˣ;graduate | light skin tone | man | student
161;U+1F468 U+1F3FC U+200D U+1F393;👨🏼‍🎓;—;;;;—;—;—;—;—;—;—;—;—;man student: medium-light skin tone;2015ˣ;graduate | man | medium-light skin tone | student
162;U+1F468 U+1F3FD U+200D U+1F393;👨🏽‍🎓;—;;;;—;—;—;—;—;—;—;—;—;man student: medium skin tone;2015ˣ;graduate | man | medium skin tone | student
163;U+1F468 U+1F3FE U+200D U+1F393;👨🏾‍🎓;—;;;;—;—;—;—;—;—;—;—;—;man student: medium-dark skin tone;2015ˣ;graduate | man | medium-dark skin tone | student
164;U+1F468 U+1F3FF U+200D U+1F393;👨🏿‍🎓;—;;;;—;—;—;—;—;—;—;—;—;man student: dark skin tone;2015ˣ;dark skin tone | graduate | man | student
165;U+1F469 U+200D U+1F393;👩‍🎓;—;;;;—;—;—;—;—;—;—;—;—;woman student;2010ˣ;graduate | student | woman
166;U+1F469 U+1F3FB U+200D U+1F393;👩🏻‍🎓;—;;;;—;—;—;—;—;—;—;—;—;woman student: light skin tone;2015ˣ;graduate | light skin tone | student | woman
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
167;U+1F469 U+1F3FC U+200D U+1F393;👩🏼‍🎓;—;;;;—;—;—;—;—;—;—;—;—;woman student: medium-light skin tone;2015ˣ;graduate | medium-light skin tone | student | woman
168;U+1F469 U+1F3FD U+200D U+1F393;👩🏽‍🎓;—;;;;—;—;—;—;—;—;—;—;—;woman student: medium skin tone;2015ˣ;graduate | medium skin tone | student | woman
169;U+1F469 U+1F3FE U+200D U+1F393;👩🏾‍🎓;—;;;;—;—;—;—;—;—;—;—;—;woman student: medium-dark skin tone;2015ˣ;graduate | medium-dark skin tone | student | woman
170;U+1F469 U+1F3FF U+200D U+1F393;👩🏿‍🎓;—;;;;—;—;—;—;—;—;—;—;—;woman student: dark skin tone;2015ˣ;dark skin tone | graduate | student | woman
